facility_key,facility_id,facility_name,state_code,hospital_type,hospital_ownership,is_current_general_info_match,is_alternate_federal_id,overall_rating_numeric,overall_rating_raw,overall_rating_footnote_code,geography_key
1,010001,SOUTHEAST HEALTH MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,4.0,4,,2
2,010005,MARSHALL MEDICAL CENTERS,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,3.0,3,,2
3,010006,NORTH ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,true,false,2.0,2,,2
4,010007,MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,true,false,1.0,1,,2
5,010011,ST. VINCENT'S EAST,AL,Acute Care Hospitals,Voluntary non-profit - Private,true,false,3.0,3,29,2
6,010012,DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,true,false,2.0,2,,2
7,010016,SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,true,false,2.0,2,,2
8,010019,HELEN KELLER HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,2.0,2,,2
9,010021,DALE MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,,Not Available,16,2
10,010022,FLOYD CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,true,false,,Not Available,16,2
11,010023,BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,2.0,2,,2
12,010024,JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,true,false,2.0,2,,2
13,010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,3.0,3,,2
14,010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Government - State,true,false,2.0,2,,2
15,010034,COMMUNITY HOSPITAL INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,true,false,,Not Available,16,2
16,010035,CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,2.0,2,,2
17,010036,ANDALUSIA HEALTH,AL,Acute Care Hospitals,Proprietary,true,false,2.0,2,,2
18,010039,HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,3.0,3,,2
19,010040,GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,true,false,2.0,2,,2
20,010044,MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,true,false,3.0,3,,2
21,010045,FAYETTE MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Other,true,false,4.0,4,,2
22,010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,true,false,3.0,3,,2
23,010049,MEDICAL CENTER ENTERPRISE,AL,Acute Care Hospitals,Proprietary,true,false,4.0,4,,2
24,010051,GREENE COUNTY HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Other,true,false,,Not Available,16,2
25,010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,true,false,,Not Available,16,2
26,010055,FLOWERS HOSPITAL,AL,Acute Care Hospitals,Proprietary,true,false,2.0,2,,2
27,010056,ST VINCENT'S BIRMINGHAM,AL,Acute Care Hospitals,Voluntary non-profit - Private,true,false,3.0,3,29,2
28,010058,BIBB MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,,Not Available,16,2
29,010061,HIGHLANDS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,3.0,3,,2
30,010062,WIREGRASS MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,,Not Available,16,2
31,010065,RUSSELL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,true,false,3.0,3,,2
32,010073,CLAY COUNTY HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,,Not Available,16,2
33,010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Local,true,false,1.0,1,,2
34,010079,ATHENS LIMESTONE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,2.0,2,,2
35,010083,BALDWIN HEALTH,AL,Acute Care Hospitals,Proprietary,true,false,4.0,4,,2
36,010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,AL,Acute Care Hospitals,Government - Hospital District or Authority,true,false,3.0,3,,2
37,010086,NORTH MISSISSIPPI HEALTH SERVICES - SOUTH MARION,AL,Acute Care Hospitals,Proprietary,true,false,4.0,4,,2
38,010087,USA HEALTH UNIVERSITY HOSPITAL,AL,Acute Care Hospitals,Government - State,true,false,2.0,2,,2
39,010089,WALKER BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,true,false,3.0,3,,2
