geography_key,geography_type,state_code,geography_name
1,state,AK,AK
2,state,AL,AL
3,state,AR,AR
4,state,AS,AS
5,state,AZ,AZ
6,state,CA,CA
7,state,CO,CO
8,state,CT,CT
9,state,DC,DC
10,state,DE,DE
11,state,FL,FL
12,state,GA,GA
13,state,GU,GU
14,state,HI,HI
15,state,IA,IA
16,state,ID,ID
17,state,IL,IL
18,state,IN,IN
19,state,KS,KS
20,state,KY,KY
21,state,LA,LA
22,state,MA,MA
23,state,MD,MD
24,state,ME,ME
25,state,MI,MI
26,state,MN,MN
27,state,MO,MO
28,state,MP,MP
29,state,MS,MS
30,state,MT,MT
31,state,NC,NC
32,state,ND,ND
33,state,NE,NE
34,state,NH,NH
35,state,NJ,NJ
36,state,NM,NM
37,state,NV,NV
38,state,NY,NY
39,state,OH,OH
40,state,OK,OK
41,state,OR,OR
42,state,PA,PA
43,state,PR,PR
44,state,RI,RI
45,state,SC,SC
46,state,SD,SD
47,state,TN,TN
48,state,TX,TX
49,state,UT,UT
50,state,VA,VA
51,state,VI,VI
52,state,VT,VT
53,state,WA,WA
54,state,WI,WI
55,state,WV,WV
56,state,WY,WY
