provider_hrrp_key,facility_key,measure_key,reporting_period_key,source_release_key,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,discharge_count,readmission_count,footnote_code_raw,is_reportable,is_suppressed,suppression_reason
1,1,19,7,5,0.9875,4.5734,4.6311,,,,true,false,
2,1,16,7,5,0.9531,10.396,10.9078,137,13,,true,false,
3,1,15,7,5,0.937,13.2998,14.1948,273,33,,true,false,
4,1,17,7,5,0.9823,16.6384,16.9389,122,19,,true,false,
5,1,20,7,5,0.9871,15.7529,15.9591,507,79,,true,false,
6,1,18,7,5,1.0233,20.5695,20.101,653,136,,true,false,
7,2,16,7,5,,,,,,5,false,true,Not available
8,2,15,7,5,,,,,,1,false,true,Not available
9,2,17,7,5,0.9308,16.8541,18.108,132,17,,true,false,
10,2,18,7,5,1.0087,20.9512,20.77,164,35,,true,false,
11,2,19,7,5,0.8602,4.6113,5.3609,,,,true,false,
12,2,20,7,5,0.8727,13.3116,15.2532,292,30,,true,false,
13,3,15,7,5,0.9195,11.6567,12.6772,285,29,,true,false,
14,3,19,7,5,1.0527,6.083,5.7783,,,,true,false,
15,3,20,7,5,0.9819,15.6444,15.9334,679,105,,true,false,
16,3,18,7,5,0.9925,19.2066,19.3517,461,88,,true,false,
17,3,16,7,5,1.0027,11.1697,11.1399,,,,true,false,
18,3,17,7,5,1.052,19.1045,18.1604,174,37,,true,false,
19,4,20,7,5,1.0345,16.336,15.7913,84,16,,true,false,
20,4,15,7,5,,,,,,1,false,true,Not available
21,4,18,7,5,1.062,19.6947,18.5446,39,12,,true,false,
22,4,19,7,5,,,,,,1,false,true,Not available
23,4,17,7,5,1.0232,16.5931,16.2168,,,,true,false,
24,4,16,7,5,,,,,,5,false,true,Not available
25,5420,19,7,5,,,,,,5,false,true,Not available
26,5420,20,7,5,1.0017,13.4114,13.3883,,,,true,false,
27,5420,18,7,5,,,,,,1,false,true,Not available
28,5420,16,7,5,,,,,,5,false,true,Not available
29,5420,17,7,5,,,,,,1,false,true,Not available
30,5420,15,7,5,,,,,,1,false,true,Not available
31,5,15,7,5,0.9697,11.4644,11.8232,118,12,29,true,false,
32,5,16,7,5,1.1213,12.5649,11.2054,63,11,29,true,false,
33,5,18,7,5,1.0373,19.906,19.1894,268,56,29,true,false,
34,5,19,7,5,,,,,,1,false,true,Not available
35,5,17,7,5,0.9988,19.4501,19.4725,57,11,29,true,false,
36,5,20,7,5,1.0102,16.1282,15.9654,281,46,29,true,false,
37,6,19,7,5,0.9322,4.0417,4.3357,,,,true,false,
38,6,18,7,5,1.084,19.6001,18.0817,98,25,,true,false,
39,6,15,7,5,1.0565,11.4786,10.865,,,,true,false,
40,6,20,7,5,1.0206,15.253,14.9444,142,23,,true,false,
41,6,17,7,5,0.9934,13.8163,13.9081,,,,true,false,
42,6,16,7,5,,,,,,5,false,true,Not available
43,7,20,7,5,1.0292,16.7023,16.2284,216,38,,true,false,
44,7,16,7,5,1.0875,12.3307,11.339,,,,true,false,
45,7,17,7,5,0.9888,17.7859,17.9874,,,,true,false,
46,7,19,7,5,1.1004,6.2549,5.6843,,,,true,false,
47,7,15,7,5,1.027,14.8776,14.4868,,,,true,false,
48,7,18,7,5,1.0053,20.1019,19.9957,212,43,,true,false,
49,5421,20,7,5,,,,,,5,false,true,Not available
50,5421,19,7,5,,,,,,5,false,true,Not available
51,5421,18,7,5,,,,,,5,false,true,Not available
52,5421,17,7,5,,,,,,5,false,true,Not available
53,5421,15,7,5,,,,,,5,false,true,Not available
54,5421,16,7,5,,,,,,5,false,true,Not available
55,8,19,7,5,1.2168,5.4095,4.4458,,,,true,false,
56,8,18,7,5,0.9057,17.2859,19.0851,255,37,,true,false,
57,8,15,7,5,,,,,,1,false,true,Not available
58,8,16,7,5,,,,,,5,false,true,Not available
59,8,17,7,5,1.0327,17.547,16.991,169,32,,true,false,
60,8,20,7,5,1.0061,13.8755,13.7919,235,33,,true,false,
61,9,16,7,5,,,,,,5,false,true,Not available
62,9,17,7,5,,,,,,1,false,true,Not available
63,9,15,7,5,,,,,,1,false,true,Not available
64,9,18,7,5,,,,,,1,false,true,Not available
65,9,19,7,5,,,,,,5,false,true,Not available
66,9,20,7,5,1.002,13.9025,13.8749,,,,true,false,
67,10,19,7,5,,,,,,5,false,true,Not available
68,10,17,7,5,,,,,,1,false,true,Not available
69,10,18,7,5,,,,,,1,false,true,Not available
70,10,16,7,5,,,,,,5,false,true,Not available
71,10,20,7,5,0.9738,12.7596,13.1025,,,,true,false,
72,10,15,7,5,,,,,,5,false,true,Not available
73,11,19,7,5,0.9546,5.4372,5.6955,,,,true,false,
74,11,18,7,5,1.0589,22.0595,20.8335,289,68,,true,false,
75,11,20,7,5,1.049,18.3401,17.4837,162,33,,true,false,
76,11,17,7,5,1.0436,19.9666,19.1329,64,16,,true,false,
77,11,16,7,5,1.0851,11.598,10.688,,,,true,false,
78,11,15,7,5,1.0084,14.2828,14.1632,186,27,,true,false,
79,12,20,7,5,1.0066,15.9827,15.8774,260,42,,true,false,
80,12,19,7,5,,,,,,1,false,true,Not available
81,12,17,7,5,0.9583,16.1925,16.8969,87,11,,true,false,
82,12,15,7,5,1.0203,14.862,14.5665,141,22,,true,false,
83,12,18,7,5,1.0207,19.7846,19.3825,321,65,,true,false,
84,12,16,7,5,0.9386,10.8206,11.5286,,,,true,false,
85,13,20,7,5,0.8875,13.1459,14.8118,211,20,29,true,false,
86,13,18,7,5,1.0273,18.6111,18.1163,253,49,29,true,false,
87,13,17,7,5,0.9239,16.2846,17.6261,,,29,true,false,
88,13,15,7,5,1.0521,11.5674,10.9948,91,13,29,true,false,
89,13,16,7,5,0.9704,9.9541,10.2577,,,29,true,false,
90,13,19,7,5,0.9746,4.562,4.6807,401,18,29,true,false,
91,14,20,7,5,1.0983,17.1081,15.5775,343,65,,true,false,
92,14,17,7,5,0.9689,19.1648,19.78,169,30,,true,false,
93,14,16,7,5,1.2863,15.142,11.7722,358,61,,true,false,
94,14,15,7,5,1.1901,17.2513,14.4954,295,60,,true,false,
95,14,19,7,5,1.3796,10.358,7.5079,,,,true,false,
96,14,18,7,5,0.9861,19.7513,20.0293,638,125,,true,false,
97,15,16,7,5,,,,,,5,false,true,Not available
98,15,19,7,5,,,,,,5,false,true,Not available
99,15,18,7,5,,,,,,1,false,true,Not available
100,15,15,7,5,,,,0,,7,false,true,Not available
101,15,20,7,5,,,,,,1,false,true,Not available
102,15,17,7,5,,,,,,1,false,true,Not available
103,16,16,7,5,,,,,,5,false,true,Not available
104,16,19,7,5,0.8913,4.1609,4.6683,,,,true,false,
105,16,18,7,5,0.9659,17.458,18.0752,352,59,,true,false,
106,16,15,7,5,1.0488,12.9285,12.3267,,,,true,false,
107,16,20,7,5,0.9922,14.1743,14.2851,441,62,,true,false,
108,16,17,7,5,1.0725,17.5077,16.3246,137,29,,true,false,
109,17,20,7,5,0.9462,14.2068,15.0146,138,16,,true,false,
110,17,16,7,5,,,,,,5,false,true,Not available
111,17,19,7,5,1.1547,6.3173,5.4708,,,,true,false,
112,17,15,7,5,,,,,,1,false,true,Not available
113,17,18,7,5,1.0426,21.7269,20.8389,133,32,,true,false,
114,17,17,7,5,0.9647,20.2024,20.9412,,,,true,false,
115,18,16,7,5,0.8637,8.6865,10.0572,273,20,,true,false,
116,18,19,7,5,1.0436,6.9377,6.6479,,,,true,false,
117,18,15,7,5,0.8965,10.6508,11.8801,567,55,,true,false,
118,18,17,7,5,0.9689,16.8266,17.3667,394,64,,true,false,
119,18,20,7,5,0.9224,14.0411,15.2222,1334,182,,true,false,
120,18,18,7,5,0.997,19.8047,19.8653,1218,241,,true,false,
121,19,20,7,5,1.0159,16.9093,16.6453,248,43,,true,false,
122,19,15,7,5,0.9772,12.5369,12.8299,,,,true,false,
123,19,18,7,5,0.9563,21.0997,22.0631,229,45,,true,false,
124,19,16,7,5,1.1728,14.2767,12.1729,47,11,,true,false,
125,19,17,7,5,0.9967,19.3825,19.4465,89,17,,true,false,
126,19,19,7,5,1.1146,5.9928,5.3767,,,,true,false,
127,20,15,7,5,,,,,,1,false,true,Not available
128,20,18,7,5,0.945,17.0702,18.0636,,,,true,false,
129,20,19,7,5,,,,,,5,false,true,Not available
130,20,20,7,5,1.0028,14.443,14.4034,,,,true,false,
131,20,17,7,5,,,,,,1,false,true,Not available
132,20,16,7,5,,,,,,5,false,true,Not available
133,21,18,7,5,1.0009,16.5419,16.5277,,,,true,false,
134,21,15,7,5,,,,0,,7,false,true,Not available
135,21,19,7,5,,,,,,5,false,true,Not available
136,21,16,7,5,,,,,,5,false,true,Not available
137,21,17,7,5,1.0117,16.1652,15.9787,,,,true,false,
138,21,20,7,5,0.9973,14.3354,14.3738,,,,true,false,
139,22,18,7,5,1.106,23.0676,20.8569,275,71,,true,false,
140,22,16,7,5,,,,,,1,false,true,Not available
141,22,19,7,5,1.0344,5.7642,5.5724,,,,true,false,
142,22,15,7,5,1.0131,14.1243,13.9419,,,,true,false,
143,22,20,7,5,1.1181,17.8297,15.9464,322,65,,true,false,
144,22,17,7,5,1.0628,18.6955,17.591,99,23,,true,false,
145,23,19,7,5,0.8186,3.6231,4.4262,,,,true,false,
146,23,18,7,5,0.9516,16.6277,17.474,105,14,,true,false,
147,23,15,7,5,,,,,,1,false,true,Not available
148,23,20,7,5,0.9999,13.7023,13.7034,146,20,,true,false,
149,23,16,7,5,,,,,,5,false,true,Not available
150,23,17,7,5,1.0197,16.5552,16.2357,58,11,,true,false,
151,24,17,7,5,,,,,,5,false,true,Not available
152,24,20,7,5,,,,0,,7,false,true,Not available
153,24,15,7,5,,,,,,5,false,true,Not available
154,24,19,7,5,,,,,,5,false,true,Not available
155,24,16,7,5,,,,,,5,false,true,Not available
156,24,18,7,5,,,,0,,7,false,true,Not available
157,25,19,7,5,,,,,,5,false,true,Not available
158,25,18,7,5,,,,,,1,false,true,Not available
159,25,16,7,5,,,,,,5,false,true,Not available
160,25,20,7,5,1.0169,15.3222,15.0674,,,,true,false,
161,25,17,7,5,,,,,,1,false,true,Not available
162,25,15,7,5,,,,0,,7,false,true,Not available
163,26,20,7,5,1.0375,15.4196,14.8628,302,49,,true,false,
164,26,16,7,5,1.1266,12.1697,10.802,106,16,,true,false,
165,26,19,7,5,1.3851,6.2042,4.4792,182,15,,true,false,
166,26,17,7,5,0.9429,17.7033,18.776,121,17,,true,false,
167,26,15,7,5,1.083,12.511,11.5523,264,37,,true,false,
168,26,18,7,5,0.966,18.472,19.1221,322,57,,true,false,
169,27,15,7,5,1.0865,13.7718,12.6757,122,21,29,true,false,
170,27,20,7,5,1.0772,16.2944,15.1266,393,69,29,true,false,
171,27,16,7,5,1.0823,11.8986,10.994,75,11,29,true,false,
172,27,19,7,5,1.1136,6.4814,5.82,,,29,true,false,
173,27,17,7,5,0.9927,16.7254,16.8485,,,29,true,false,
174,27,18,7,5,0.9837,18.9407,19.2551,360,67,29,true,false,
175,28,17,7,5,,,,,,1,false,true,Not available
176,28,20,7,5,0.936,13.3177,14.2282,,,,true,false,
177,28,18,7,5,,,,,,1,false,true,Not available
178,28,19,7,5,,,,,,5,false,true,Not available
179,28,15,7,5,,,,,,1,false,true,Not available
180,28,16,7,5,,,,,,5,false,true,Not available
181,5422,18,7,5,,,,,,1,false,true,Not available
182,5422,16,7,5,,,,,,5,false,true,Not available
183,5422,19,7,5,,,,,,5,false,true,Not available
184,5422,20,7,5,1.0061,16.4814,16.3816,,,,true,false,
185,5422,17,7,5,,,,,,1,false,true,Not available
186,5422,15,7,5,,,,,,1,false,true,Not available
187,29,20,7,5,0.9641,14.0105,14.5315,124,15,,true,false,
188,29,16,7,5,,,,,,5,false,true,Not available
189,29,18,7,5,0.9478,16.5381,17.4489,,,,true,false,
190,29,17,7,5,1.0124,16.55,16.3472,,,,true,false,
191,29,15,7,5,,,,,,1,false,true,Not available
192,29,19,7,5,,,,,,1,false,true,Not available
193,30,18,7,5,,,,,,1,false,true,Not available
194,30,19,7,5,,,,,,5,false,true,Not available
195,30,20,7,5,,,,,,1,false,true,Not available
196,30,15,7,5,,,,,,1,false,true,Not available
197,30,17,7,5,,,,,,1,false,true,Not available
198,30,16,7,5,,,,,,5,false,true,Not available
199,31,20,7,5,0.9283,13.1245,14.1384,,,,true,false,
200,31,15,7,5,1.0124,13.5084,13.3432,,,,true,false,
201,31,17,7,5,1.0214,15.0901,14.7739,,,,true,false,
202,31,16,7,5,,,,,,5,false,true,Not available
203,31,18,7,5,0.9711,18.4406,18.9892,71,11,,true,false,
204,31,19,7,5,0.8224,5.0426,6.1318,,,,true,false,
205,32,19,7,5,,,,,,5,false,true,Not available
