provider_measure_key,facility_key,measure_key,reporting_period_key,source_release_key,comparison_category,score_numeric,score_raw,lower_estimate_numeric,upper_estimate_numeric,denominator_numeric,patient_count,patients_returned,footnote_code_raw,is_reportable,is_suppressed,suppression_reason
1,1,1,3,2,Average days,-2.6,-2.6,-47.1,74.7,242.0,235,51,,true,false,
2,1,2,3,2,Average days,-14.4,-14.4,-59.7,52.9,659.0,540,173,,true,false,
3,1,3,3,2,Average days,0.7,0.7,-35.1,50.0,586.0,530,126,,true,false,
4,1,4,6,2,Not reportable,,Not Available,,,,,,4,false,true,Not available
5,1,5,2,2,No different than national rate,12.7,12.7,9.5,17.0,234.0,,,,true,false,
6,1,6,5,2,No different than national rate,10.0,10,7.5,13.3,302.0,,,,true,false,
7,1,7,5,2,No different than national rate,5.1,5.1,3.6,7.2,302.0,,,,true,false,
8,1,8,5,2,No different than expected,1.1,1.1,0.8,1.3,651.0,,,,true,false,
9,1,9,4,2,No different than national rate,14.1,14.1,11.9,16.6,398.0,,,,true,false,
10,1,10,4,2,No different than national rate,10.0,10,7.5,13.0,173.0,,,,true,false,
11,1,11,4,2,No different than national rate,20.4,20.4,17.9,23.0,232.0,,,,true,false,
12,1,12,4,2,No different than national rate,19.9,19.9,17.7,22.3,1107.0,,,,true,false,
13,1,13,4,2,No different than national rate,6.4,6.4,4.9,8.3,35.0,,,,true,false,
14,1,14,4,2,No different than national rate,15.6,15.6,13.7,17.7,1012.0,,,,true,false,
15,2,1,3,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
16,2,2,3,2,Average days,16.4,16.4,-36.5,93.0,160.0,146,62,,true,false,
17,2,3,3,2,Average days,-8.2,-8.2,-39.0,33.1,315.0,277,73,,true,false,
18,2,4,6,2,Not reportable,,Not Available,,,,,,4,false,true,Not available
19,2,5,2,2,No different than national rate,13.0,13,9.9,17.1,917.0,,,,true,false,
20,2,6,5,2,No different than national rate,9.3,9.3,6.6,12.7,84.0,,,,true,false,
21,2,7,5,2,No different than national rate,4.8,4.8,3.2,7.0,84.0,,,,true,false,
22,2,8,5,2,No different than expected,0.9,0.9,0.7,1.2,389.0,,,,true,false,
23,2,9,4,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
24,2,10,4,2,Not reportable,,Not Available,,,,,,5,false,true,Not available
25,2,11,4,2,No different than national rate,18.8,18.8,16.2,21.9,220.0,,,,true,false,
26,2,12,4,2,No different than national rate,20.4,20.4,18.2,22.9,199.0,,,,true,false,
27,2,13,4,2,No different than national rate,6.0,6,4.5,7.8,28.0,,,,true,false,
28,2,14,4,2,No different than national rate,15.3,15.3,13.4,17.4,461.0,,,,true,false,
29,3,1,3,2,Average days,-15.8,-15.8,-49.8,43.1,285.0,270,50,,true,false,
30,3,2,3,2,Average days,13.0,13,-37.3,88.0,424.0,349,120,,true,false,
31,3,3,3,2,Average days,28.0,28,-18.3,94.7,691.0,612,180,,true,false,
32,3,4,6,2,Not reportable,,Not Available,,,,,,4,false,true,Not available
33,3,5,2,2,No different than national rate,11.1,11.1,8.6,14.3,1619.0,,,,true,false,
34,3,6,5,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
35,3,7,5,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
36,3,8,5,2,No different than expected,1.2,1.2,1.0,1.6,458.0,,,,true,false,
37,3,9,4,2,No different than national rate,14.1,14.1,12.0,16.5,444.0,,,,true,false,
38,3,10,4,2,No different than national rate,13.0,13,9.6,16.8,114.0,,,,true,false,
39,3,11,4,2,Worse than national rate,23.6,23.6,20.4,27.2,340.0,,,,true,false,
40,3,12,4,2,No different than national rate,23.1,23.1,20.7,25.7,601.0,,,,true,false,
41,3,13,4,2,No different than national rate,5.1,5.1,3.8,6.6,49.0,,,,true,false,
42,3,14,4,2,No different than national rate,17.8,17.8,15.7,20.3,948.0,,,,true,false,
43,4,1,3,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
44,4,2,3,2,Average days,41.2,41.2,-14.3,125.3,47.0,37,32,,true,false,
45,4,3,3,2,More days than average,60.3,60.3,3.8,143.6,78.0,74,36,,true,false,
46,4,4,6,2,Not reportable,,Not Available,,,,,,4,false,true,Not available
47,4,5,2,2,No different than national rate,12.5,12.5,9.2,17.0,108.0,,,,true,false,
48,4,6,5,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
49,4,7,5,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
50,4,8,5,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
51,4,9,4,2,Not reportable,,Not Available,,,,,,1,false,true,Not available
52,4,10,4,2,Not reportable,,Not Available,,,,,,5,false,true,Not available
