provider_program_score_key,facility_key,reporting_period_key,source_release_key,fiscal_year,clinical_outcomes_unweighted,clinical_outcomes_weighted,engagement_unweighted,engagement_weighted,safety_unweighted,safety_weighted,efficiency_unweighted,efficiency_weighted,total_performance_score,is_tps_reportable,suppression_reason
1,1,8,6,2026,24.0,6.0,43.0,10.75,51.666666666667,12.916666666667,10.0,2.5,32.166666666667,true,
2,2,8,6,2026,5.0,1.25,37.0,9.25,31.666666666667,7.916666666667,10.0,2.5,20.916666666667,true,
3,3,8,6,2026,3.333333333333,0.833333333333,15.0,3.75,85.0,21.25,0.0,0.0,25.833333333333,true,
4,6,8,6,2026,4.0,1.0,45.0,11.25,43.333333333333,10.833333333333,30.0,7.5,30.583333333333,true,
5,7,8,6,2026,18.333333333333,4.583333333333,19.0,4.75,43.333333333333,10.833333333333,10.0,2.5,22.666666666667,true,
6,8,8,6,2026,0.0,0.0,65.0,16.25,68.333333333333,17.083333333333,0.0,0.0,33.333333333333,true,
7,11,8,6,2026,25.0,6.25,43.0,10.75,28.333333333333,7.083333333333,20.0,5.0,29.083333333333,true,
8,12,8,6,2026,34.0,8.5,28.0,7.0,41.666666666667,10.416666666667,20.0,5.0,30.916666666667,true,
9,13,8,6,2026,6.666666666667,1.666666666667,48.0,12.0,25.0,6.25,30.0,7.5,27.416666666667,true,
10,14,8,6,2026,28.333333333333,7.083333333333,50.0,12.5,26.666666666667,6.666666666667,10.0,2.5,28.75,true,
11,16,8,6,2026,10.0,2.5,30.0,7.5,41.666666666667,10.416666666667,10.0,2.5,22.916666666667,true,
12,17,8,6,2026,2.5,0.625,38.0,9.5,65.0,16.25,20.0,5.0,31.375,true,
13,18,8,6,2026,18.333333333333,4.583333333333,38.0,9.5,16.666666666667,4.166666666667,0.0,0.0,18.25,true,
14,19,8,6,2026,23.333333333333,5.833333333333,27.0,6.75,48.333333333333,12.083333333333,0.0,0.0,24.666666666667,true,
15,21,8,6,2026,3.333333333333,0.833333333333,94.0,23.5,10.0,2.5,30.0,7.5,34.333333333333,true,
16,22,8,6,2026,10.0,2.5,39.0,9.75,62.0,15.5,0.0,0.0,27.75,true,
17,23,8,6,2026,0.0,0.0,54.0,13.5,65.0,16.25,40.0,10.0,39.75,true,
18,26,8,6,2026,5.0,1.25,47.0,11.75,78.333333333333,19.583333333333,0.0,0.0,32.583333333333,true,
19,29,8,6,2026,0.0,0.0,54.0,13.5,50.0,12.5,50.0,12.5,38.5,true,
20,31,8,6,2026,8.0,2.0,31.0,7.75,33.333333333333,8.333333333333,30.0,7.5,25.583333333333,true,
