dataset_id,column_name,physical_ingest_type,inferred_semantic_type,row_count,blank_count,blank_rate,suppressed_token_count,distinct_nonblank_count,numeric_parse_success_count,numeric_parse_eligible_count,numeric_parse_success_rate,date_parse_success_count,date_parse_eligible_count,date_parse_success_rate,top_values_json
4gkm-5ypv,End Date,string,date-like,784,0,0.0,0,2,0,784,0.0,784,784,1.0,"[{""value"": ""06/30/2024"", ""count"": 560}, {""value"": ""12/31/2024"", ""count"": 224}]"
4gkm-5ypv,Footnote,string,string,784,728,0.9285714285714286,0,1,56,56,1.0,0,56,,"[{""value"": ""5"", ""count"": 56}]"
4gkm-5ypv,Measure ID,string,string,784,0,0.0,0,14,0,784,0.0,0,784,,"[{""value"": ""EDAC_30_AMI"", ""count"": 56}, {""value"": ""EDAC_30_HF"", ""count"": 56}, {""value"": ""EDAC_30_PN"", ""count"": 56}, {""value"": ""Hybrid_HWR"", ""count"": 56}, {""value"": ""OP_32"", ""count"": 56}]"
4gkm-5ypv,Measure Name,string,string,784,0,0.0,0,14,0,784,0.0,0,784,,"[{""value"": ""Hospital return days for heart attack patients"", ""count"": 56}, {""value"": ""Hospital return days for heart failure patients"", ""count"": 56}, {""value"": ""Hospital return days for pneumonia patients"", ""count"": 56}, {""value"": ""Hybrid Hospital-Wide All-Cause Readmission Measure (HWR)"", ""count"": 56}, {""value"": ""Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)"", ""count"": 56}]"
4gkm-5ypv,Number of Hospitals Average,string,string,784,0,0.0,628,57,156,156,1.0,0,156,,"[{""value"": ""Not Applicable"", ""count"": 616}, {""value"": ""Not Available"", ""count"": 12}, {""value"": ""6"", ""count"": 9}, {""value"": ""32"", ""count"": 8}, {""value"": ""2"", ""count"": 6}]"
4gkm-5ypv,Number of Hospitals Better,string,string,784,0,0.0,212,15,572,572,1.0,0,572,,"[{""value"": ""0"", ""count"": 394}, {""value"": ""Not Applicable"", ""count"": 168}, {""value"": ""1"", ""count"": 97}, {""value"": ""Not Available"", ""count"": 44}, {""value"": ""2"", ""count"": 37}]"
4gkm-5ypv,Number of Hospitals Fewer,string,string,784,0,0.0,628,39,156,156,1.0,0,156,,"[{""value"": ""Not Applicable"", ""count"": 616}, {""value"": ""6"", ""count"": 13}, {""value"": ""3"", ""count"": 12}, {""value"": ""Not Available"", ""count"": 12}, {""value"": ""0"", ""count"": 11}]"
4gkm-5ypv,Number of Hospitals More,string,string,784,0,0.0,628,55,156,156,1.0,0,156,,"[{""value"": ""Not Applicable"", ""count"": 616}, {""value"": ""Not Available"", ""count"": 12}, {""value"": ""3"", ""count"": 10}, {""value"": ""1"", ""count"": 10}, {""value"": ""4"", ""count"": 10}]"
4gkm-5ypv,Number of Hospitals Same,string,string,784,0,0.0,212,147,572,572,1.0,0,572,,"[{""value"": ""Not Applicable"", ""count"": 168}, {""value"": ""Not Available"", ""count"": 44}, {""value"": ""7"", ""count"": 16}, {""value"": ""8"", ""count"": 16}, {""value"": ""6"", ""count"": 15}]"
4gkm-5ypv,Number of Hospitals Too Few,string,string,784,0,0.0,212,89,572,572,1.0,0,572,,"[{""value"": ""Not Applicable"", ""count"": 168}, {""value"": ""Not Available"", ""count"": 44}, {""value"": ""0"", ""count"": 38}, {""value"": ""1"", ""count"": 37}, {""value"": ""7"", ""count"": 23}]"
4gkm-5ypv,Number of Hospitals Too Small,string,string,784,0,0.0,628,69,156,156,1.0,0,156,,"[{""value"": ""Not Applicable"", ""count"": 616}, {""value"": ""Not Available"", ""count"": 12}, {""value"": ""1"", ""count"": 7}, {""value"": ""17"", ""count"": 6}, {""value"": ""0"", ""count"": 6}]"
4gkm-5ypv,Number of Hospitals Worse,string,string,784,0,0.0,212,18,572,572,1.0,0,572,,"[{""value"": ""0"", ""count"": 409}, {""value"": ""Not Applicable"", ""count"": 168}, {""value"": ""1"", ""count"": 85}, {""value"": ""Not Available"", ""count"": 44}, {""value"": ""2"", ""count"": 34}]"
