dataset_id,start_date_column,end_date_column,measurement_start_date,measurement_end_date,row_count
632h-zaca,Start Date,End Date,07/01/2021,06/30/2024,43128
632h-zaca,Start Date,End Date,01/01/2024,12/31/2024,14376
632h-zaca,Start Date,End Date,07/01/2023,06/30/2024,4792
632h-zaca,Start Date,End Date,01/01/2022,12/31/2024,4792
4gkm-5ypv,Start Date,End Date,07/01/2021,06/30/2024,504
4gkm-5ypv,Start Date,End Date,01/01/2024,12/31/2024,168
4gkm-5ypv,Start Date,End Date,07/01/2023,06/30/2024,56
4gkm-5ypv,Start Date,End Date,01/01/2022,12/31/2024,56
cvcs-xecj,Start Date,End Date,07/01/2021,06/30/2024,9
cvcs-xecj,Start Date,End Date,01/01/2024,12/31/2024,3
cvcs-xecj,Start Date,End Date,07/01/2023,06/30/2024,1
cvcs-xecj,Start Date,End Date,01/01/2022,12/31/2024,1
9n3s-kdb3,Start Date,End Date,07/01/2021,06/30/2024,18330
