check_id,run_id,table_name,check_name,expected_value,actual_value,status,severity,details,checked_at
provider_21f6a4a0a1,provider_profile_2026-07-29_2026-07-29T22:43:12,4gkm-5ypv,candidate_grain_unique,0,0,PASS,Critical,Candidate key: State + Measure ID + Start Date + End Date; duplicate groups: 0.,2026-07-29T22:43:12+00:00
provider_0aa77268af,provider_profile_2026-07-29_2026-07-29T22:43:12,4gkm-5ypv,candidate_key_complete,0,0,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-07-29T22:43:12+00:00
provider_bb97cf8764,provider_profile_2026-07-29_2026-07-29T22:43:12,4gkm-5ypv,column_count_reconciles_to_manifest,14,14,PASS,Critical,Column names are preserved exactly as published.,2026-07-29T22:43:12+00:00
provider_f1eb5c7253,provider_profile_2026-07-29_2026-07-29T22:43:12,4gkm-5ypv,row_count_reconciles_to_manifest,784,784,PASS,Critical,CSV data rows exclude the header.,2026-07-29T22:43:12+00:00
provider_4b2098245c,provider_profile_2026-07-29_2026-07-29T22:43:12,4gkm-5ypv,source_hash_matches_manifest,09ac5d707205c1f61bedb7b017c7de693222cda79a2f3b2fe81b0b8d623a9523,09ac5d707205c1f61bedb7b017c7de693222cda79a2f3b2fe81b0b8d623a9523,PASS,Critical,Raw file SHA-256 is recalculated before profiling.,2026-07-29T22:43:12+00:00
provider_a5616909ba,provider_profile_2026-07-29_2026-07-29T22:43:12,4gkm-5ypv,suppression_text_preserved,raw text retained; never coerced to zero,"{""not applicable"": 3136, ""not available"": 224}",PASS,Critical,All raw fields were ingested as strings with NA coercion disabled.,2026-07-29T22:43:12+00:00
provider_5d1ce126d3,provider_profile_2026-07-29_2026-07-29T22:43:12,632h-zaca,candidate_grain_unique,0,0,PASS,Critical,Candidate key: Facility ID + Measure ID + Start Date + End Date; duplicate groups: 0.,2026-07-29T22:43:12+00:00
provider_123bb2e88f,provider_profile_2026-07-29_2026-07-29T22:43:12,632h-zaca,candidate_key_complete,0,0,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-07-29T22:43:12+00:00
provider_4e7874e6e8,provider_profile_2026-07-29_2026-07-29T22:43:12,632h-zaca,column_count_reconciles_to_manifest,20,20,PASS,Critical,Column names are preserved exactly as published.,2026-07-29T22:43:12+00:00
provider_700e2ff705,provider_profile_2026-07-29_2026-07-29T22:43:12,632h-zaca,facility_id_six_character_string,0,0,PASS,Critical,Facility IDs were ingested as strings; 10514 row values begin with zero and 2296 row values are six-character federal VA/DoD identifiers rather than numeric CCNs.,2026-07-29T22:43:12+00:00
provider_61e43ff688,provider_profile_2026-07-29_2026-07-29T22:43:12,632h-zaca,row_count_reconciles_to_manifest,67088,67088,PASS,Critical,CSV data rows exclude the header.,2026-07-29T22:43:12+00:00
provider_f35bffd75c,provider_profile_2026-07-29_2026-07-29T22:43:12,632h-zaca,source_hash_matches_manifest,6f8f59fed5a56e78868d8a4d73f1a78341168cc07f3536b72be952f35c76751d,6f8f59fed5a56e78868d8a4d73f1a78341168cc07f3536b72be952f35c76751d,PASS,Critical,Raw file SHA-256 is recalculated before profiling.,2026-07-29T22:43:12+00:00
provider_85953e63c9,provider_profile_2026-07-29_2026-07-29T22:43:12,632h-zaca,suppression_text_preserved,raw text retained; never coerced to zero,"{""not applicable"": 105424, ""not available"": 155498, ""number of cases too small"": 15869}",PASS,Critical,All raw fields were ingested as strings with NA coercion disabled.,2026-07-29T22:43:12+00:00
provider_b1ca5c6a30,provider_profile_2026-07-29_2026-07-29T22:43:12,9n3s-kdb3,candidate_grain_unique,0,0,PASS,Critical,Candidate key: Facility ID + Measure Name + Start Date + End Date; duplicate groups: 0.,2026-07-29T22:43:12+00:00
provider_6df88309dd,provider_profile_2026-07-29_2026-07-29T22:43:12,9n3s-kdb3,candidate_key_complete,0,0,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-07-29T22:43:12+00:00
provider_8c5ddb7904,provider_profile_2026-07-29_2026-07-29T22:43:12,9n3s-kdb3,column_count_reconciles_to_manifest,12,12,PASS,Critical,Column names are preserved exactly as published.,2026-07-29T22:43:12+00:00
provider_d783c58b28,provider_profile_2026-07-29_2026-07-29T22:43:12,9n3s-kdb3,facility_id_six_character_string,0,0,PASS,Critical,Facility IDs were ingested as strings; 3354 row values begin with zero and 0 row values are six-character federal VA/DoD identifiers rather than numeric CCNs.,2026-07-29T22:43:12+00:00
provider_8de3ae5156,provider_profile_2026-07-29_2026-07-29T22:43:12,9n3s-kdb3,row_count_reconciles_to_manifest,18330,18330,PASS,Critical,CSV data rows exclude the header.,2026-07-29T22:43:12+00:00
provider_13003c148a,provider_profile_2026-07-29_2026-07-29T22:43:12,9n3s-kdb3,source_hash_matches_manifest,7e7915dd2751a1e59ac46dbc9194fb781e820962a04d47c31344ea2bb30c91f6,7e7915dd2751a1e59ac46dbc9194fb781e820962a04d47c31344ea2bb30c91f6,PASS,Critical,Raw file SHA-256 is recalculated before profiling.,2026-07-29T22:43:12+00:00
provider_17778f7f62,provider_profile_2026-07-29_2026-07-29T22:43:12,9n3s-kdb3,suppression_text_preserved,raw text retained; never coerced to zero,"{""n/a"": 36528, ""too few to report"": 3683}",PASS,Critical,All raw fields were ingested as strings with NA coercion disabled.,2026-07-29T22:43:12+00:00
provider_953fc77527,provider_profile_2026-07-29_2026-07-29T22:43:12,cvcs-xecj,candidate_grain_unique,0,0,PASS,Critical,Candidate key: Measure ID + Start Date + End Date; duplicate groups: 0.,2026-07-29T22:43:12+00:00
provider_edb1e6002c,provider_profile_2026-07-29_2026-07-29T22:43:12,cvcs-xecj,candidate_key_complete,0,0,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-07-29T22:43:12+00:00
provider_1fc6ff38f4,provider_profile_2026-07-29_2026-07-29T22:43:12,cvcs-xecj,column_count_reconciles_to_manifest,14,14,PASS,Critical,Column names are preserved exactly as published.,2026-07-29T22:43:12+00:00
provider_710dcb3922,provider_profile_2026-07-29_2026-07-29T22:43:12,cvcs-xecj,row_count_reconciles_to_manifest,14,14,PASS,Critical,CSV data rows exclude the header.,2026-07-29T22:43:12+00:00
provider_f231395f1a,provider_profile_2026-07-29_2026-07-29T22:43:12,cvcs-xecj,source_hash_matches_manifest,0167c70db38f9449f798fedbecbd2918446063df5c7a58d715713b3fa6be14f6,0167c70db38f9449f798fedbecbd2918446063df5c7a58d715713b3fa6be14f6,PASS,Critical,Raw file SHA-256 is recalculated before profiling.,2026-07-29T22:43:12+00:00
provider_ef1f124c69,provider_profile_2026-07-29_2026-07-29T22:43:12,cvcs-xecj,suppression_text_preserved,raw text retained; never coerced to zero,"{""not applicable"": 60}",PASS,Critical,All raw fields were ingested as strings with NA coercion disabled.,2026-07-29T22:43:12+00:00
provider_77604b35a2,provider_profile_2026-07-29_2026-07-29T22:43:12,xubh-q36u,candidate_grain_unique,0,0,PASS,Critical,Candidate key: Facility ID; duplicate groups: 0.,2026-07-29T22:43:12+00:00
provider_13988d663a,provider_profile_2026-07-29_2026-07-29T22:43:12,xubh-q36u,candidate_key_complete,0,0,PASS,Critical,"Blank means an empty source string, not a suppressed score.",2026-07-29T22:43:12+00:00
provider_199417aca1,provider_profile_2026-07-29_2026-07-29T22:43:12,xubh-q36u,column_count_reconciles_to_manifest,38,38,PASS,Critical,Column names are preserved exactly as published.,2026-07-29T22:43:12+00:00
