dataset_id,measure_id,measure_name,row_count,measurement_start_dates,measurement_end_dates,footnoted_row_count,suppressed_row_count,source_numeric_fields
632h-zaca,EDAC_30_AMI,Hospital return days for heart attack patients,4790,07/01/2022,06/30/2025,3296,3258,Score|Lower Estimate|Higher Estimate
632h-zaca,EDAC_30_HF,Hospital return days for heart failure patients,4790,07/01/2022,06/30/2025,1742,1682,Score|Lower Estimate|Higher Estimate
632h-zaca,EDAC_30_PN,Hospital return days for pneumonia patients,4790,07/01/2022,06/30/2025,1201,1139,Score|Lower Estimate|Higher Estimate
632h-zaca,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),4790,07/01/2024,06/30/2025,4790,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",4790,01/01/2022,12/31/2024,1716,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,4790,01/01/2024,12/31/2024,3303,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,4790,01/01/2024,12/31/2024,3303,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4790,01/01/2024,12/31/2024,2128,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,4790,07/01/2023,06/30/2025,2864,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,READM_30_CABG,Rate of readmission for CABG,4790,07/01/2023,06/30/2025,3878,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,4790,07/01/2023,06/30/2025,1756,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4790,07/01/2023,06/30/2025,1596,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,4790,07/01/2023,06/30/2025,3128,4790,Score|Lower Estimate|Higher Estimate
632h-zaca,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4790,07/01/2023,06/30/2025,1095,4790,Score|Lower Estimate|Higher Estimate
4gkm-5ypv,EDAC_30_AMI,Hospital return days for heart attack patients,56,07/01/2022,06/30/2025,4,56,
4gkm-5ypv,EDAC_30_HF,Hospital return days for heart failure patients,56,07/01/2022,06/30/2025,4,56,
4gkm-5ypv,EDAC_30_PN,Hospital return days for pneumonia patients,56,07/01/2022,06/30/2025,4,56,
4gkm-5ypv,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),56,07/01/2024,06/30/2025,56,56,
4gkm-5ypv,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",56,01/01/2022,12/31/2024,4,56,
4gkm-5ypv,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,56,01/01/2024,12/31/2024,4,56,
4gkm-5ypv,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,56,01/01/2024,12/31/2024,4,56,
4gkm-5ypv,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,56,01/01/2024,12/31/2024,4,56,
4gkm-5ypv,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,56,07/01/2023,06/30/2025,4,56,
4gkm-5ypv,READM_30_CABG,Rate of readmission for CABG,56,07/01/2023,06/30/2025,4,56,
4gkm-5ypv,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,56,07/01/2023,06/30/2025,4,56,
